year,quarter,period,state,count,amount_inr,avg_ticket_inr
2019,4,2019Q4,ladakh,113210,464502753.7020103,4103.018758961313
2019,4,2019Q4,lakshadweep,6097,19723480.776782963,3234.9484626509698
2019,4,2019Q4,madhya pradesh,71003068,108819575634.9737,1532.6038536105748
2019,4,2019Q4,maharashtra,196478271,260156648249.87997,1324.0988274468273
2019,4,2019Q4,manipur,511743,1456426016.7193756,2846.0106278334547
2019,4,2019Q4,meghalaya,373215,841717696.7390778,2255.3158279787194
2019,4,2019Q4,mizoram,144316,463491574.6950983,3211.6437172253823
2019,4,2019Q4,nagaland,387002,1129891007.1426184,2919.599917164817
2019,4,2019Q4,odisha,65679564,80400377264.45883,1224.1308006316672
2019,4,2019Q4,puducherry,1092326,1963177051.3888311,1797.2446425232313
2019,4,2019Q4,punjab,13980727,29882043953.982292,2137.3741118027906
2019,4,2019Q4,rajasthan,83291120,153381418752.1703,1841.5098602608573
2019,4,2019Q4,sikkim,409087,1004355162.7638068,2455.1138578439472
2019,4,2019Q4,tamil nadu,54273375,95902389590.0488,1767.0246154776407
2019,4,2019Q4,telangana,152510054,249883165634.61353,1638.470114466116
2019,4,2019Q4,tripura,1017662,1684739442.0514455,1655.5000010331971
2019,4,2019Q4,uttar pradesh,97385189,162877433939.99805,1672.5072427594514
2019,4,2019Q4,uttarakhand,8590151,15233913544.563915,1773.4162699309843
2019,4,2019Q4,west bengal,90948911,82930838430.99612,911.8398177521458
2020,1,2020Q1,andaman & nicobar islands,49104,181027348.6617951,3686.61104312877
2020,1,2020Q1,andhra pradesh,159186574,328528062231.59393,2063.792529586031
2020,1,2020Q1,arunachal pradesh,696142,1928569155.032096,2770.36747536005
2020,1,2020Q1,assam,8674891,18864649389.34545,2174.626677078185
2020,1,2020Q1,bihar,44056833,106616037981.9359,2419.9660012315435
2020,1,2020Q1,chandigarh,1776530,3334833902.532528,1877.161602974635
2020,1,2020Q1,chhattisgarh,19093394,32590895619.612717,1706.9199755482298
2020,1,2020Q1,dadra & nagar haveli & daman & diu,1059367,1783068099.6136131,1683.1448399030867
2020,1,2020Q1,delhi,64918068,101297919304.47128,1560.3963954144674
2020,1,2020Q1,goa,2308644,4491991521.593598,1945.7272414428548
2020,1,2020Q1,gujarat,47012185,84177281289.14142,1790.5417773954011
2020,1,2020Q1,haryana,51339201,94252119542.41226,1835.870401302355
2020,1,2020Q1,himachal pradesh,4235511,7195985019.600036,1698.965017349745
2020,1,2020Q1,jammu & kashmir,852425,2717731573.0984516,3188.235414374815
2020,1,2020Q1,jharkhand,20690673,38005984652.31631,1836.8655602607178
2020,1,2020Q1,karnataka,278198437,365544124508.5454,1313.9690087782392
2020,1,2020Q1,kerala,15435048,25568200637.84075,1656.5028264143236
2020,1,2020Q1,ladakh,149508,528768954.05518544,3536.726824351777
2020,1,2020Q1,lakshadweep,8729,26322589.50098286,3015.533222703959
2020,1,2020Q1,madhya pradesh,80393376,128103419316.96422,1593.4573927703225
2020,1,2020Q1,maharashtra,233758463,308295755638.30304,1318.8645736360058
2020,1,2020Q1,manipur,606999,1627281632.673866,2680.8637784804687
2020,1,2020Q1,meghalaya,440231,985286898.5929303,2238.1133963599345
2020,1,2020Q1,mizoram,179537,512023794.8715464,2851.9123906021955
2020,1,2020Q1,nagaland,457785,1216640719.3733199,2657.6683800764986
2020,1,2020Q1,odisha,54421577,92843181623.98956,1705.999471937198
2020,1,2020Q1,puducherry,1319437,2300219163.043279,1743.3338333268503
2020,1,2020Q1,punjab,15697948,31954421122.46702,2035.5794988279372
2020,1,2020Q1,rajasthan,99812994,183459625889.9085,1838.0334918107808
2020,1,2020Q1,sikkim,459577,1060247749.2178302,2307.0078555232967
2020,1,2020Q1,tamil nadu,65118379,110698166875.72932,1699.9527410798928
2020,1,2020Q1,telangana,177329550,318131593325.3983,1794.0134248657278
2020,1,2020Q1,tripura,1129990,2057977801.9370825,1821.2354108771603
2020,1,2020Q1,uttar pradesh,108112889,190863464183.66577,1765.408971576606
2020,1,2020Q1,uttarakhand,9726841,16698596159.683369,1716.7543048851492
2020,1,2020Q1,west bengal,63993554,91566525988.34715,1430.8710841149275
2020,2,2020Q2,andaman & nicobar islands,78685,197252557.32084328,2506.8635358815945
2020,2,2020Q2,andhra pradesh,176284886,380612306331.30676,2159.0750912775743
2020,2,2020Q2,arunachal pradesh,972129,2479742352.6607533,2550.836722966554
