month,leg,volume_mn,value_brl_bn,volume_share,value_share
2024-04,B2G,3.567,5.74,0.000821,0.003306
2024-04,B2P,377.45,223.877,0.086865,0.128939
2024-04,G2B,0.441,4.473,0.000102,0.002576
2024-04,G2G,0.023,3.63,5e-06,0.002091
2024-04,G2P,1.13,1.088,0.00026,0.000627
2024-04,Nao disponivel,0.486,0.035,0.000112,2e-05
2024-04,P2B,1683.488,202.524,0.38743,0.116641
2024-04,P2G,9.766,2.855,0.002248,0.001644
2024-04,P2P,2139.536,528.208,0.492383,0.304215
2024-05,B2B,133.353,755.977,0.02886,0.426931
2024-05,B2G,3.618,5.639,0.000783,0.003185
2024-05,B2P,394.782,226.236,0.085437,0.127765
2024-05,G2B,0.277,3.452,6e-05,0.001949
2024-05,G2G,0.021,3.554,5e-06,0.002007
2024-05,G2P,3.322,5.116,0.000719,0.002889
2024-05,P2B,1806.448,211.177,0.390943,0.11926
2024-05,P2G,10.613,3.695,0.002297,0.002087
2024-05,P2P,2268.305,555.877,0.490897,0.313926
2024-06,B2B,134.727,754.347,0.028929,0.424653
2024-06,B2G,3.583,6.501,0.000769,0.00366
2024-06,B2P,391.384,226.888,0.084038,0.127725
2024-06,G2B,0.332,6.352,7.1e-05,0.003576
2024-06,G2G,0.024,3.982,5e-06,0.002241
2024-06,G2P,6.139,7.992,0.001318,0.004499
2024-06,Nao disponivel,0.464,0.033,0.0001,1.8e-05
2024-06,P2B,1818.649,211.435,0.390501,0.119026
2024-06,P2G,9.158,2.685,0.001966,0.001512
2024-06,P2P,2292.764,556.168,0.492303,0.31309
2024-07,B2B,147.167,866.709,0.030745,0.443386
2024-07,B2G,4.093,7.623,0.000855,0.0039
2024-07,B2P,411.37,249.094,0.085941,0.12743
2024-07,G2B,0.229,3.627,4.8e-05,0.001855
2024-07,G2G,0.024,3.766,5e-06,0.001926
2024-07,G2P,6.024,7.093,0.001259,0.003628
2024-07,P2B,1888.687,228.768,0.394575,0.117032
2024-07,P2G,9.606,2.886,0.002007,0.001476
2024-07,P2P,2319.438,585.185,0.484565,0.299366
2024-08,B2B,151.703,839.849,0.030284,0.431094
2024-08,B2G,4.164,7.207,0.000831,0.003699
2024-08,B2P,432.567,254.058,0.086351,0.130408
2024-08,G2B,0.243,5.057,4.9e-05,0.002596
2024-08,G2G,0.023,3.492,5e-06,0.001792
2024-08,G2P,5.1,5.74,0.001018,0.002946
2024-08,P2B,1995.019,234.857,0.398256,0.120552
2024-08,P2G,9.362,2.833,0.001869,0.001454
2024-08,P2P,2411.203,595.088,0.481337,0.305458
2024-09,B2B,151.309,850.654,0.030911,0.43905
2024-09,B2G,4.263,7.215,0.000871,0.003724
2024-09,B2P,425.655,251.484,0.086958,0.129799
2024-09,G2B,0.299,6.303,6.1e-05,0.003253
2024-09,G2G,0.023,3.402,5e-06,0.001756
2024-09,G2P,1.25,1.458,0.000255,0.000753
2024-09,Nao disponivel,1.222,0.428,0.00025,0.000221
2024-09,P2B,1950.681,232.004,0.398508,0.119745
2024-09,P2G,10.021,3.009,0.002047,0.001553
2024-09,P2P,2350.236,581.531,0.480134,0.300147
2024-10,B2B,165.096,934.894,0.032396,0.447647
2024-10,B2G,4.649,8.776,0.000912,0.004202
2024-10,B2P,439.512,266.151,0.086244,0.127439
2024-10,G2B,0.166,7.351,3.3e-05,0.00352
2024-10,G2G,0.024,4.087,5e-06,0.001957
2024-10,G2P,1.927,1.317,0.000378,0.000631
